Date,active_calories,sedentary_time,steps,activity_score,readiness_score,sleep_score,temperature_deviation,average_breath,average_heart_rate,average_hrv,awake_time,deep_sleep_duration,efficiency,latency,light_sleep_duration,rem_sleep_duration,time_in_bed,total_sleep_duration
1/13/20,131,18720,2177,65,75,,0,,,,,,,,,,,
1/14/20,509,21000,2605,74,70,,0.12,,,,,,,,,,,
1/15/20,845,13380,5625,82,65,,-0.25,,,,,,,,,,,
1/16/20,207,16980,3430,81,65,,0.07,,,,,,,,,,,
1/17/20,591,50520,3335,78,80,,-0.12,,,,,,,,,,,
1/18/20,293,43560,4925,82,57,,-0.07,,,,,,,,,,,
1/19/20,226,40440,3364,79,78,,0.09,,,,,,,,,,,
1/20/20,167,20820,2347,82,71,,0.09,,,,,,,,,,,
1/21/20,143,21180,2582,74,68,,0.08,,,,,,,,,,,
1/22/20,744,9840,7815,81,72,,-0.37,,,,,,,,,,,
1/23/20,234,22080,4202,80,59,,0.08,,,,,,,,,,,
1/24/20,411,35760,5588,69,81,,-0.08,,,,,,,,,,,
1/25/20,403,35880,6676,68,76,,-0.51,,,,,,,,,,,
1/26/20,420,30000,7259,68,75,,0.01,,,,,,,,,,,
1/27/20,162,15480,2652,68,74,,-0.11,,,,,,,,,,,
1/28/20,201,18480,3318,67,78,,0.26,,,,,,,,,,,
1/29/20,674,7260,6601,68,86,,0.02,,,,,,,,,,,
1/30/20,274,24420,4822,66,56,,0.26,,,,,,,,,,,
1/31/20,135,16140,2318,65,80,,0.06,,,,,,,,,,,
2/1/20,513,34020,7787,62,79,,0.04,,,,,,,,,,,
2/2/20,353,38220,5668,65,61,,-0.03,,,,,,,,,,,
2/3/20,576,15600,3675,82,62,,-0.52,,,,,,,,,,,
2/4/20,225,17160,3750,80,76,,-0.06,,,,,,,,,,,
2/5/20,1257,28800,16390,84,77,,0.12,,,,,,,,,,,
2/6/20,62,7560,1029,87,52,,0.44,,,,,,,,,,,
2/7/20,811,37140,6807,89,61,,0.13,,,,,,,,,,,
2/8/20,249,36180,3981,89,80,,0.03,,,,,,,,,,,
2/9/20,329,29520,5652,86,83,,-0.01,,,,,,,,,,,
2/10/20,542,14760,4167,85,81,,0.38,,,,,,,,,,,
2/11/20,125,16260,2296,84,79,,0.09,,,,,,,,,,,
2/12/20,795,14280,7789,85,73,,-0.25,,,,,,,,,,,
2/13/20,190,15840,3055,85,76,,0.27,,,,,,,,,,,
2/14/20,679,28380,6161,78,89,,-0.15,,,,,,,,,,,
2/15/20,283,34740,5009,76,60,,0.17,,,,,,,,,,,
2/16/20,244,40200,3949,73,91,,0.23,,,,,,,,,,,
2/17/20,591,32460,5469,81,83,,0.12,,,,,,,,,,,
2/18/20,175,16680,3077,82,83,,0.11,,,,,,,,,,,
2/19/20,601,12540,3566,85,84,,-0.15,,,,,,,,,,,
2/20/20,259,21840,4008,84,80,,-0.02,,,,,,,,,,,
2/21/20,296,43200,4883,69,85,,0.01,,,,,,,,,,,
2/22/20,384,26880,6594,76,89,,0.07,,,,,,,,,,,
2/23/20,314,8580,3051,77,93,,0.02,,,,,,,,,,,
2/24/20,211,22860,3725,67,,,,,,,,,,,,,,
2/25/20,846,26640,9268,80,89,,-0.35,,,,,,,,,,,
2/26/20,178,26160,2967,72,81,,0.07,,,,,,,,,,,
2/27/20,228,23700,3770,72,86,,-0.16,,,,,,,,,,,
2/28/20,305,24420,4535,71,81,,-0.07,,,,,,,,,,,
2/29/20,349,33600,6330,67,82,,0.03,,,,,,,,,,,
3/1/20,364,26940,6342,66,83,,-0.05,,,,,,,,,,,
3/2/20,255,14160,4326,67,80,,0.05,,,,,,,,,,,
3/3/20,150,13920,2547,55,80,,0.13,,,,,,,,,,,
3/4/20,821,34440,10577,69,81,,-0.25,,,,,,,,,,,
3/5/20,272,10320,4455,73,72,,0.04,,,,,,,,,,,
3/6/20,351,42780,5513,65,84,,-0.47,,,,,,,,,,,
3/7/20,420,21420,7099,69,80,,-0.03,,,,,,,,,,,
3/8/20,413,29580,7132,66,88,,0.05,,,,,,,,,,,
3/9/20,170,24420,2865,65,73,,0.19,,,,,,,,,,,
3/10/20,502,11400,6417,73,78,,-0.42,,,,,,,,,,,
3/11/20,305,40320,4813,57,78,,-0.21,,,,,,,,,,,
3/12/20,574,14220,4346,77,65,,-0.55,,,,,,,,,,,
3/13/20,180,43980,3172,68,,,,,,,,,,,,,,
3/14/20,283,36240,4812,68,84,,-0.01,,,,,,,,,,,
3/15/20,453,29580,5444,70,90,,-0.04,,,,,,,,,,,
3/16/20,190,22500,3115,70,73,,-0.29,,,,,,,,,,,
3/17/20,603,44100,4497,73,76,,-0.1,,,,,,,,,,,
3/18/20,211,39120,3798,73,73,,0.09,,,,,,,,,,,
3/19/20,329,39900,5432,64,79,,-0.14,,,,,,,,,,,
3/20/20,332,39060,5031,63,89,,0.19,,,,,,,,,,,
3/21/20,345,39660,5925,58,72,,0.21,,,,,,,,,,,
3/22/20,297,36060,4520,62,81,,-0.2,,,,,,,,,,,
3/23/20,556,39420,3434,69,88,,0.13,,,,,,,,,,,
3/24/20,182,50760,3304,54,65,,0.23,,,,,,,,,,,
3/25/20,210,46860,3342,54,74,,-0.11,,,,,,,,,,,
3/26/20,669,40020,5349,71,77,,0.08,,,,,,,,,,,
3/27/20,119,26160,2054,70,81,,-0.31,,,,,,,,,,,
3/28/20,266,50940,4386,64,,,,,,,,,,,,,,
3/29/20,1159,30720,9308,82,84,,0.2,,,,,,,,,,,
3/30/20,283,46980,4475,74,57,,-0.49,,,,,,,,,,,
3/31/20,255,41220,4362,76,67,,0.15,,,,,,,,,,,
4/1/20,522,29940,5760,79,75,,-0.03,,,,,,,,,,,
4/2/20,764,45540,7513,74,68,,0.14,,,,,,,,,,,
4/3/20,299,43800,4429,75,70,,-0.1,,,,,,,,,,,
4/4/20,319,44700,4921,74,76,,-0.38,,,,,,,,,,,
4/5/20,284,38460,4370,67,77,,-0.12,,,,,,,,,,,
4/6/20,252,40800,3876,64,79,,-0.26,,,,,,,,,,,
4/7/20,771,35760,6482,77,76,,0.11,,,,,,,,,,,
4/8/20,898,41820,9405,82,69,,0.11,,,,,,,,,,,
4/9/20,158,49620,2803,72,72,,-0.6,,,,,,,,,,,
4/10/20,673,29400,5923,82,86,,0.05,,,,,,,,,,,
4/11/20,438,36360,7965,80,74,,-0.25,,,,,,,,,,,
4/12/20,428,32760,7116,81,72,,0.13,,,,,,,,,,,
4/13/20,395,44220,3772,77,83,,0.17,,,,,,,,,,,
4/14/20,277,40140,4285,69,72,,0.03,,,,,,,,,,,
4/15/20,773,40500,7293,72,74,,0.16,,,,,,,,,,,
4/16/20,406,42120,4723,71,73,,-0.18,,,,,,,,,,,
4/17/20,249,36720,3627,70,80,,0.03,,,,,,,,,,,
4/18/20,496,38760,7609,68,78,,-0.17,,,,,,,,,,,
4/19/20,688,27360,8936,80,78,,-0.14,,,,,,,,,,,
4/20/20,311,36360,4871,76,64,,-0.01,,,,,,,,,,,
4/21/20,1154,34440,10632,85,72,,0.12,,,,,,,,,,,
4/22/20,206,39540,3557,76,68,,0.16,,,,,,,,,,,
4/23/20,263,37440,4423,77,81,,0.13,,,,,,,,,,,
4/24/20,587,45240,4417,81,82,,-0.29,,,,,,,,,,,
4/25/20,336,40080,5644,82,65,,-0.28,,,,,,,,,,,
4/26/20,951,32340,9923,85,75,,-0.15,,,,,,,,,,,
4/27/20,524,34320,5363,86,76,,-0.04,,,,,,,,,,,
4/28/20,201,46320,3690,77,72,,-0.14,,,,,,,,,,,
4/29/20,204,38820,3620,79,85,,-0.03,,,,,,,,,,,
4/30/20,374,42240,5585,73,83,,0.01,,,,,,,,,,,
5/1/20,943,30420,9808,80,75,,-0.04,,,,,,,,,,,
5/2/20,394,28440,6391,87,64,,-0.14,,,,,,,,,,,
5/3/20,477,26880,7846,84,67,,0.19,,,,,,,,,,,
5/4/20,211,43920,3709,74,77,,0.33,,,,,,,,,,,
5/5/20,308,39540,5342,72,77,,-0.07,,,,,,,,,,,
5/6/20,1058,39900,9157,85,73,,0.14,,,,,,,,,,,
5/7/20,194,48960,3166,81,71,,-0.34,,,,,,,,,,,
5/8/20,285,36960,4929,76,82,,0.18,,,,,,,,,,,
5/9/20,701,43500,6647,79,77,,-0.05,,,,,,,,,,,
5/10/20,443,25500,6457,81,75,,0.16,,,,,,,,,,,
5/11/20,788,41760,6258,82,78,,-0.06,,,,,,,,,,,
5/12/20,183,38340,3074,83,,,,,,,,,,,,,,
5/13/20,277,46440,4437,74,80,,-0.25,,,,,,,,,,,
5/14/20,385,40140,3227,76,83,,-0.15,,,,,,,,,,,
5/15/20,306,41280,4916,74,71,,-0.13,,,,,,,,,,,
5/16/20,1188,33900,11016,78,75,,0.24,,,,,,,,,,,
5/17/20,272,41700,4538,75,64,,-0.11,,,,,,,,,,,
5/18/20,251,36960,4264,70,84,,-0.05,,,,,,,,,,,
5/19/20,516,41040,4236,72,82,,-0.14,,,,,,,,,,,
5/20/20,839,37200,8365,80,71,,-0.02,,,,,,,,,,,
5/21/20,630,37080,4554,85,77,,0.23,,,,,,,,,,,
5/22/20,272,48600,4663,80,83,,0.06,,,,,,,,,,,
5/23/20,900,37680,9419,84,80,,0.03,,,,,,,,,,,
5/24/20,958,26340,10308,93,72,,0.02,,,,,,,,,,,
5/25/20,311,38820,5405,87,68,,-0.33,,,,,,,,,,,
5/26/20,161,40020,2767,87,87,,-0.01,,,,,,,,,,,
5/27/20,993,38700,8344,89,74,,0.14,,,,,,,,,,,
5/28/20,290,34500,4998,85,78,,-0.26,,,,,,,,,,,
5/29/20,659,31860,7960,90,81,,-0.41,,,,,,,,,,,
5/30/20,538,31080,9516,86,81,,-0.41,,,,,,,,,,,
5/31/20,913,28080,10644,87,71,,0.02,,,,,,,,,,,
6/1/20,534,34080,4348,86,72,,0.34,,,,,,,,,,,
6/2/20,289,46200,4742,79,73,,0.17,,,,,,,,,,,
6/3/20,248,46440,4053,77,76,,0.08,,,,,,,,,,,
6/4/20,989,40020,7795,83,85,,-0.03,,,,,,,,,,,
6/5/20,319,40080,5166,79,71,,0.02,,,,,,,,,,,
6/6/20,468,34500,7485,80,87,,-0.11,,,,,,,,,,,
6/7/20,467,36420,7012,72,82,,-0.1,,,,,,,,,,,
6/8/20,317,35100,5244,70,76,,0.05,,,,,,,,,,,
6/9/20,931,35640,8026,78,83,,-0.03,,,,,,,,,,,
6/10/20,223,43800,4091,75,72,,0.06,,,,,,,,,,,
6/11/20,391,42240,6436,67,77,,0.02,,,,,,,,,,,
6/12/20,352,36600,6112,68,77,,-0.26,,,,,,,,,,,
6/13/20,424,32400,7106,67,81,,0.06,,,,,,,,,,,
