date,lift_volume_lbs
2024-09-21,12835
2024-10-17,10080
2024-11-09,8835
2024-11-19,6460
2024-12-03,14620
2024-12-13,7035
2025-01-03,10225
2025-02-14,12770
2025-02-16,4905
2025-02-17,10265
2025-02-21,1320
2025-02-26,9330
2025-02-28,11410
2025-03-02,11330
2025-03-04,11615
2025-03-06,10330
2025-03-08,11885
2025-03-11,10960
2025-03-13,11563
2025-03-15,10722
2025-03-18,12405
2025-03-20,12510
2025-03-23,11985
2025-03-26,4640
2025-03-28,11104
2025-03-30,12937.5
2025-04-03,13680
2025-04-06,12214
2025-04-08,11529
2025-04-13,13640
2025-04-15,15040
2025-04-18,14957.5
