Date,activityType,duration,cals_burned,meters
2024-03-30,Walking,1758.06,201.56,1491.23
2024-03-30,Walking,578.94,70.2664,883.391
2024-03-30,Walking,471.00,64.8466,826.737
2024-04-13,Walking,1565.94,199.456,1342.97
2024-04-25,Walking,393.06,49.4628,594.389
2024-04-27,Walking,941.41,100.423,1485.13
2024-05-04,Walking,660.00,45.782,55.2076
2024-05-05,Walking,2246.51,223,1378.94
2024-05-09,Walking,904.33,104.269,1299.11
2024-05-11,Walking,2452.33,283.459,1851.94
2024-05-15,Walking,215.41,34.1052,353.239
2024-05-17,Walking,989.70,113.83,1318.94
2024-05-20,Walking,1440.00,53.28,749.578
2024-05-21,Walking,840.00,58.268,859.411
2024-05-22,Walking,840.00,58.268,503.985
2024-05-24,Walking,1035.33,136.772,849.453
2024-05-28,Walking,924.71,105.558,1515.14
2024-05-29,Walking,1260.00,87.402,1109.53
2024-06-01,Walking,3832.61,374.418,4265.45
2024-06-02,Walking,3271.77,275.568,3495.35
2024-06-02,Walking,2088.23,201.155,2414.76
2024-06-03,Walking,2298.08,273.616,3819.9
2024-06-04,Walking,2141.94,167.633,1899.9
2024-06-05,Walking,2616.15,247.193,1551.21
2024-06-07,Walking,2068.54,163.219,1750.1
2024-06-07,Walking,3041.13,462.881,5404.2
2024-06-07,Walking,360.01,24.973,654.11
2024-06-08,Walking,1094.36,102.38,1276.54
2024-06-08,Walking,474.08,59.558,577.56
2024-06-08,Walking,543.94,53.4009,526.244
2024-06-09,Walking,2780.69,453.212,5342.84
2024-06-09,Walking,360.01,24.9728,687.705
2024-06-11,Walking,2647.22,368.8,4634.68
2024-06-12,Walking,2732.05,400.051,4582.75
2024-06-13,Walking,2648.42,357.577,4658.52
2024-06-14,Walking,568.23,82.9719,857.903
2024-06-15,Walking,1277.25,93.8232,1254.76
2024-06-17,Walking,2706.47,377.434,4245.24
2024-06-18,Walking,1145.25,109.882,1698.3
2024-06-19,Walking,2357.80,211.13,3165.83
2024-06-20,Walking,2655.84,286.569,2002.85
2024-06-21,Walking,2009.27,255.482,3036.14
2024-06-22,Walking,840.00,58.632,514.045
2024-06-22,Walking,1466.00,205.043,2274.04
2024-06-24,Walking,2601.23,271.585,3897.02
2024-06-25,Walking,2521.87,386.504,4213.06
2024-06-25,Walking,2813.12,422.498,5081.42
2024-06-26,Walking,1858.27,240.14,2962.04
2024-06-27,Walking,2138.05,261.161,3682.8
2024-06-29,Walking,1898.34,241.052,3238.8
2024-06-30,Walking,2592.07,263.811,2898.87
2024-06-30,Walking,2996.84,477.578,5640.08
2024-07-01,Walking,2369.07,203.209,2244.1
2024-07-03,Walking,2160.00,150.768,2587.68
2024-07-03,Walking,3952.13,575.504,7025.86
2024-07-05,Walking,2686.30,210.126,2544.06
2024-07-06,Walking,900.00,62.82,250.409
2024-07-08,Walking,3987.37,324.24,3239.79
2024-07-09,Walking,1140.00,79.572,705.936
2024-07-10,Walking,2469.17,365.231,4376.81
2024-07-11,Walking,1850.41,241.14,3221.42
2024-07-12,Walking,2146.89,229.46,2513.28
2024-07-13,Walking,1678.18,223.455,2871.58
2024-07-13,Walking,338.02,65.29,574.669
2024-07-13,Walking,2485.91,406.808,4123.46
2024-07-14,Walking,2427.90,180.967,1920.75
2024-07-17,Walking,1711.32,131.073,1536.02
2024-07-17,Walking,840.00,58.632,679.495
2024-07-19,Walking,4067.30,791.276,8367.64
2024-07-21,Walking,1814.63,182.538,1629.05
2024-07-21,Walking,1118.15,63.6622,538.901
2024-07-22,Walking,1559.81,170.389,2375.64
2024-07-25,Walking,2092.12,239.802,3245.81
2024-07-26,Walking,1258.93,122.661,1141.56
2024-07-28,Walking,2937.62,497.039,5494.62
2024-07-30,Walking,1254.08,142.904,1869.15
2024-07-30,Walking,2635.51,313.26,4035.52
2024-07-31,Walking,2792.29,474.835,4935.57
2024-08-02,Walking,1018.96,90.1743,1054.91
2024-08-02,Walking,2582.79,417.936,4669.47
2024-08-02,Walking,360.01,25.0206,681.096
2024-08-03,Walking,939.76,80.9162,936.292
2024-08-04,Walking,2233.01,326.49,3702.25
2024-08-05,Walking,1235.51,204.949,2255.75
2024-08-05,Walking,1080.00,75.06,6.92601
